"Name","NameK","SGG","X16_exposure","X17_exposure"
"Jeonnam Jindo-gun","전라남도 진도군",46900,0.304246246796586,0.304765340446023
"Jeonnam Hampyeong-gun","전라남도 함평군",46860,0.354401529505928,0.350821964429209
"Jeonnam Haenam-gun","전라남도 해남군",46820,0.235593241323434,0.233952207214177
"Jeonnam Hwasun-gun","전라남도 화순군",46790,0.356112528038872,0.354544717844645
"Jeonbuk Gochang-gun","전라북도 고창군",45790,0.271599777617251,0.267265922218948
"Jeonbuk Gunsan-si","전라북도 군산시",45130,0.405768405322568,0.410865517553678
"Jeonbuk Gimje-si","전라북도 김제시",45210,0.349254655294707,0.34540094174906
"Jeonbuk Namwon-si","전라북도 남원시",45190,0.45811877930065,0.453660709670598
"Jeonbuk Muju-gun","전라북도 무주군",45730,0.21919389731033,0.21557590202323
"Jeonbuk Buan-gun","전라북도 부안군",45800,0.280895720075157,0.277029872797432
"Jeonbuk Sunchang-gun","전라북도 순창군",45770,0.312230187808428,0.308297480885662
"Jeonbuk Wanju-gun","전라북도 완주군",45710,0.473811306030647,0.473717324233914
"Jeonbuk Iksan-si","전라북도 익산시",45140,0.458546340445768,0.457393034102745
"Jeonbuk Imsil-gun","전라북도 임실군",45750,0.320859262104923,0.315864659245478
"Jeonbuk Jangsu-gun","전라북도 장수군",45740,0.331001568999056,0.323896736740873
"Jeonbuk Jeonju-si","전라북도 전주시",45110,0.502346109507536,0.503722148121896
"Jeonbuk Jeongeup-si","전라북도 정읍시",45180,0.343127312051128,0.341664011628124
"Jeonbuk Jinan-gun","전라북도 진안군",45720,0.297251492030195,0.294246958719693
"Jeju","제주특별자치도",50000,0.63354466580224,0.638295685516429
"Chungnam Gyeryong-si","충청남도 계룡시",44250,0.146365121670105,0.142308421052664
"Chungnam Gongju-si","충청남도 공주시",44150,0.455186633154477,0.451610301996219
"Chungnam Geumsan-gun","충청남도 금산군",44710,0.312071715669735,0.308809821812188
"Chungnam Nonsan-si","충청남도 논산시",44230,0.417795007909757,0.414949567741622
"Chungnam Dangjin-si","충청남도 당진시",44270,0.299174130456685,0.295699694806346
"Chungnam Boryeong-si","충청남도 보령시",44180,0.231611058473551,0.225330010424021
"Chungnam Buyeo-gun","충청남도 부여군",44760,0.42755793720693,0.427123852451192
"Chungnam Seosan-si","충청남도 서산시",44210,0.298535309735143,0.291740432130161
"Chungnam Seocheon-gun","충청남도 서천군",44770,0.300998888552753,0.301444115437988
"Chungnam Asan-si","충청남도 아산시",44200,0.441289338841101,0.439985113069175
"Chungnam Yesan-gun","충청남도 예산군",44810,0.277765291214296,0.27606432769946
"Chungnam Cheonan-si","충청남도 천안시",44130,0.471640813783636,0.471618934563416
"Chungnam Cheongyang-gun","충청남도 청양군",44790,0.270306445558094,0.267267815066726
"Chungnam Taean-gun","충청남도 태안군",44825,0.123363974323355,0.118580121147591
"Chungnam Hongseong-gun","충청남도 홍성군",44800,0.268488179386639,0.261737925118438
"Chungbuk Goesan-gun","충청북도 괴산군",43760,0.247649751180244,0.172547486482299
"Chungbuk Danyang-gun","충청북도 단양군",43800,0.183791076537262,0.12203815351935
"Chungbuk Boeun-gun","충청북도 보은군",43720,0.271254272259615,0.272733079407785
"Chungbuk Yeongdong-gun","충청북도 영동군",43740,0.37108081944462,0.333595337505854
"Chungbuk Okcheon-gun","충청북도 옥천군",43730,0.269724827437037,0.209859480140298
"Chungbuk Eumseong-gun","충청북도 음성군",43770,0.376706424991902,0.336006348940662
"Chungbuk Jecheon-si","충청북도 제천시",43150,0.202880932693104,0.161907814838534
"Chungbuk Jeungpyeong-gun","충청북도 증평군",43745,0.27991801866266,0.235732591186366
"Chungbuk Jincheon-gun","충청북도 진천군",43750,0.278131544360426,0.276964765573782
"Chungbuk Cheongju-si","충청북도 청주시",43110,0.337764896922124,0.320244310141221
"Chungbuk Chungju-si","충청북도 충주시",43130,0.428476994898509,0.40593431896116
